date,close,open,high,low,volume
2024-08-05,209.27,199.09,213.5,196.0,119548600.0
2024-08-06,207.23,205.3,209.99,201.07,69660500.0
2024-08-07,209.82,206.9,213.64,206.39,63516417.0
2024-08-08,213.31,213.11,214.2,208.83,47161149.0
2024-08-09,216.24,212.1,216.78,211.97,42201646.0
2024-08-12,217.53,216.07,219.51,215.6,38028100.0
2024-08-13,221.27,219.01,221.89,219.01,44155331.0
2024-08-14,221.72,220.57,223.03,219.7,41960600.0
2024-08-15,224.72,224.6,225.35,222.76,46414013.0
2024-08-16,226.05,223.92,226.83,223.65,44340240.0
2024-08-19,225.89,225.72,225.99,223.04,40687813.0
2024-08-20,226.51,225.77,227.17,225.45,30299033.0
2024-08-21,226.4,226.52,227.98,225.05,34765500.0
2024-08-22,224.53,227.79,228.34,223.9,43695321.0
2024-08-23,226.84,225.66,228.22,224.33,38677300.0
2024-08-26,227.18,226.76,227.28,223.89,30602208.0
2024-08-27,228.03,226.0,228.85,224.89,35934600.0
2024-08-28,226.49,227.92,229.86,225.68,38052200.0
2024-08-29,229.79,230.1,232.92,228.88,51906300.0
2024-08-30,229.0,230.19,230.4,227.48,52990800.0
2024-09-03,222.77,228.55,229.0,221.17,50190600.0
2024-09-04,220.85,221.66,221.78,217.48,43840200.0
2024-09-05,222.38,221.63,225.48,221.52,36615400.0
2024-09-06,220.82,223.95,225.24,219.77,48423011.0
2024-09-09,220.91,220.82,221.27,216.71,67180000.0
2024-09-10,220.11,218.92,221.48,216.73,51591033.0
2024-09-11,222.66,221.46,223.09,217.89,44587100.0
2024-09-12,222.77,222.5,223.55,219.82,37498225.0
2024-09-13,222.5,223.58,224.04,221.91,36766619.0
2024-09-16,216.32,216.54,217.22,213.92,59357427.0
2024-09-17,216.79,215.75,216.9,214.5,45519339.0
2024-09-18,220.69,217.55,222.71,217.54,59894928.0
2024-09-19,228.87,224.99,229.82,224.63,66781315.0
2024-09-20,228.2,229.97,233.09,227.62,318679900.0
2024-09-23,226.47,227.34,229.45,225.81,54146023.0
2024-09-24,227.37,228.65,229.35,225.73,43556100.0
2024-09-25,226.37,224.93,227.29,224.02,42308715.0
2024-09-26,227.52,227.3,228.5,225.41,36636707.0
2024-09-27,227.79,228.46,229.52,227.3,34026000.0
2024-09-30,233.0,230.04,233.0,229.65,54793391.0
2024-10-01,226.21,229.52,229.65,223.74,63285048.0
2024-10-02,226.78,225.89,227.37,223.02,32880605.0
2024-10-03,225.67,225.14,226.81,223.32,34044200.0
2024-10-04,226.8,227.9,228.0,224.13,37345098.0
2024-10-07,221.69,224.5,225.69,221.33,39505400.0
2024-10-08,225.77,224.3,225.98,223.25,31855700.0
2024-10-09,229.54,225.23,229.75,224.83,33591100.0
2024-10-10,229.04,227.78,229.5,227.17,28183544.0
2024-10-11,227.55,229.3,229.41,227.34,31759200.0
2024-10-14,231.3,228.7,231.73,228.6,39882100.0
2024-10-15,233.85,233.61,237.49,232.37,64751400.0
